1,1,1,0.2,0.0018134875104606496
1,1,5,0.15,0.0061283918415627825
1,1,10,0.05,0.01885318442394859
1,5,1,0.0,0.002423854535846619
1,5,5,0.0,0.012077355049025844
1,5,10,0.0,0.027343582625340934
1,10,1,0.0,0.002988069288192257
1,10,5,0.0,0.022623610157537236
1,10,10,0.0,0.03422648150746415
1,20,1,0.0,0.004605604606924705
1,20,5,0.0,0.0290699855045036
1,20,10,0.0,0.04907652179590253
1,30,1,0.0,0.006117398398263114
1,30,5,0.0,0.035981991124707596
1,30,10,0.0,0.06076377437960717
2,1,1,0.05,0.0028546437984559594
2,1,5,0.2,0.017577861729972916
2,1,10,0.15,0.030256149802409427
2,5,1,0.35,0.003969402391940068
2,5,5,0.4,0.026515716137272296
2,5,10,0.4,0.04007687652894863
2,10,1,0.25,0.0053919777979870125
2,10,5,0.55,0.031897266642656914
2,10,10,0.4,0.05310998514932417
2,20,1,0.45,0.008418358065621266
2,20,5,0.6,0.04464739314926058
2,20,10,0.5,0.07666977805707922
2,30,1,0.55,0.013661862175961888
2,30,5,0.45,0.05648506149931788
2,30,10,0.55,0.10191820327590846
3,1,1,0.2,0.003803844749927521
3,1,5,0.15,0.026337938010692598
3,1,10,0.15,0.03866980626032902
3,5,1,0.8,0.005482360029019384
3,5,5,1.0,0.0330773930204982
3,5,10,0.95,0.05467441810384313
3,10,1,1.0,0.007733472704743938
3,10,5,1.0,0.042249088043253294
3,10,10,1.0,0.07221400282481455
3,20,1,1.0,0.01587410156543438
3,20,5,1.0,0.06095082290244825
3,20,10,1.0,0.109240671402095
3,30,1,1.0,0.024939566657558632
3,30,5,1.0,0.07756284423632628
3,30,10,1.0,0.14521053070717668
5,1,1,0.05,0.006037976525046609
5,1,5,0.1,0.03398780436530663
5,1,10,0.2,0.056471354277559026
5,5,1,0.9,0.010632846118531821
5,5,5,0.8,0.047740354623880474
5,5,10,0.95,0.08265828147647887
5,10,1,1.0,0.019456435905562508
5,10,5,0.75,0.06308251525719129
5,10,10,0.85,0.11314998521018274
5,20,1,0.9,0.028247341808972058
5,20,5,0.75,0.09409394013254266
5,20,10,0.9,0.17687651988787528
5,30,1,0.95,0.033556707601978944
5,30,5,0.85,0.12538833109537761
5,30,10,0.95,0.23428514525664978
10,1,1,0.15,0.016666482270987503
10,1,5,0.05,0.05518566924358101
10,1,10,0.25,0.0975309966361686
10,5,1,0.9,0.02616606020491056
10,5,5,0.8,0.08174317039162526
10,5,10,0.9,0.15395653031874393
10,10,1,0.85,0.03222484739873564
10,10,5,0.95,0.11562854742488599
10,10,10,0.85,0.2164716689455914
10,20,1,0.95,0.04545492744445801
10,20,5,0.75,0.1739971467426845
10,20,10,0.8,0.3444044203371615
10,30,1,0.8,0.0568063658660444
10,30,5,0.9,0.23874633828389277
10,30,10,0.85,0.46261880254965226
