1646854566.64,0.0999,0.8323,-0.002,0.0287,0.0,-1.8311,-0.0011,2,-0.0335,0.0,0.0,5821.6099,-0.0033,0.0,0,8,32.914,8,32.914,-0.0,2104.92
1646854566.69,0.1498,1.102,0.0157,0.2043,0.0,-1.8311,-0.0011,2,-0.0339,0.0,0.0,5821.623,-0.0084,0.0,0,8,32.9,8,32.9,-0.0,2104.906
1646854566.74,0.1998,1.3432,-0.0203,0.3114,0.0,-1.8311,-0.0011,2,-0.0341,0.0,0.0,5821.6392,-0.012,0.0,0,8,32.883,8,32.883,-0.0,2104.889
1646854566.79,0.2508,1.5864,0.0153,0.3043,0.0,-1.8311,-0.0011,2,-0.0341,0.0,0.0,5821.6606,-0.0142,0.0,0,8,32.861,8,32.861,0.081,2104.867
1646854566.84,0.3008,1.7729,0.0145,0.2072,0.0,-1.831,-0.001,2,-0.0341,0.0,0.0,5821.6821,-0.0145,0.0,0,8,32.852,8,32.852,0.425,2104.844
1646854566.89,0.35,1.94,0.0142,0.0719,0.0,-1.831,-0.001,2,-0.0341,0.0,0.0,5821.7051,-0.014,0.0,0,8,32.833,8,32.833,0.508,2104.82
1646854566.94,0.4003,2.1155,-0.0178,-0.0161,0.0,-1.831,-0.001,2,-0.0344,0.0,0.0,5821.7349,-0.013,0.0,0,8,32.809,8,32.809,0.608,2104.788
1646854566.99,0.4506,2.2496,-0.0192,-0.0317,0.0,-1.831,-0.001,2,-0.0342,0.0,0.0,5821.7622,-0.0123,0.0,0,8,32.789,8,32.789,0.724,2104.76
1646854567.04,0.5006,2.3735,0.0185,-0.0314,0.0,-1.831,-0.001,2,-0.0342,0.0,0.0,5821.7915,-0.0118,0.0,0,8,32.774,8,32.774,0.851,2104.729
1646854567.09,0.5506,2.4853,-0.0223,-0.0021,0.0,-1.831,-0.001,2,-0.0349,0.0,0.0,5821.8218,-0.0113,0.0,0,8,32.752,8,32.752,0.994,2104.697
1646854567.14,0.6005,2.6064,-0.0234,0.0079,0.0,-1.8309,-0.0009,2,-0.0347,0.0,0.0,5821.8594,-0.0108,0.0,0,8,32.731,8,32.731,1.15,2104.657
1646854567.19,0.6505,2.7021,-0.0243,0.009,0.0,-1.8309,-0.0009,2,-0.0342,0.0,0.0,5821.8926,-0.0104,0.0,0,8,32.696,8,32.696,1.15,2104.622
