left,4.9005,7.1005
right,10.7502,12.4
left,20.3502,22.3502
left,26.1002,27.5
right,28.5502,29.2005
right,31.3,33.7
right,36.05,37.0498
left,44.3498,46.9506
right,53.65,55.8504
left,58.55,61
left,86.4507,88.3001
right,98.4501,100.6006
